Ціна (грн),Кількість об'єктів
60000,19
160000,22
260000,26
360000,30
460000,34
560000,39
660000,43
760000,49
860000,54
960000,59
1060000,64
1160000,69
1260000,74
1360000,78
1460000,82
1560000,86
1660000,89
1760000,91
1860000,92
1960000,93
2060000,92
2160000,91
2260000,89
2360000,87
2460000,83
2560000,80
2660000,75
2760000,71
2860000,66
2960000,61
3060000,55
3160000,50
3260000,45
3360000,40
3460000,35
3560000,31
3660000,27
3760000,23
3860000,20
3960000,17
4060000,14
4160000,11
4260000,9
4360000,8
4460000,6
4560000,5
4660000,4
4760000,3
4860000,2
4960000,2
5060000,1
5160000,1
5260000,1
5360000,1
