Ціна (грн),Кількість об'єктів
60000,49
160000,53
260000,58
360000,62
460000,67
560000,71
660000,75
760000,79
860000,83
960000,86
1060000,89
1160000,92
1260000,94
1360000,95
1460000,96
1560000,96
1660000,96
1760000,95
1860000,94
1960000,92
2060000,89
2160000,87
2260000,83
2360000,80
2460000,76
2560000,72
2660000,67
2760000,63
2860000,58
2960000,54
3060000,49
3160000,45
3260000,41
3360000,37
3460000,33
3560000,29
3660000,26
3760000,23
3860000,20
3960000,17
4060000,15
4160000,13
4260000,11
4360000,9
4460000,8
4560000,7
4660000,6
4760000,5
4860000,4
4960000,3
5060000,3
5160000,2
5260000,2
5360000,1
5460000,1
5560000,1
5660000,1
5760000,1
