Ціна (грн),Кількість об'єктів
60000,356
160000,374
260000,392
360000,410
460000,428
560000,446
660000,464
760000,481
860000,497
960000,513
1060000,529
1160000,543
1260000,557
1360000,570
1460000,582
1560000,592
1660000,602
1760000,610
1860000,617
1960000,623
2060000,628
2160000,631
2260000,632
2360000,633
2460000,631
2560000,629
2660000,625
2760000,619
2860000,613
2960000,605
3060000,596
3160000,585
3260000,574
3360000,561
3460000,548
3560000,534
3660000,518
3760000,503
3860000,486
3960000,469
4060000,452
4160000,434
4260000,416
4360000,398
4460000,380
4560000,362
4660000,344
4760000,326
4860000,308
4960000,291
5060000,274
5160000,258
5260000,241
5360000,226
5460000,211
5560000,196
5660000,182
5760000,169
5860000,156
5960000,144
6060000,133
6160000,122
6260000,112
6360000,102
6460000,93
6560000,85
6660000,77
6760000,70
6860000,63
6960000,57
7060000,52
7160000,46
7260000,42
7360000,37
7460000,33
7560000,30
7660000,26
7760000,23
7860000,21
7960000,18
8060000,16
8160000,14
8260000,12
8360000,11
8460000,9
8560000,8
8660000,7
8760000,6
8860000,5
8960000,5
9060000,4
9160000,3
9260000,3
9360000,2
9460000,2
9560000,2
9660000,2
9760000,1
9860000,1
9960000,1
