Ціна (грн),Кількість об'єктів
60000,73
160000,81
260000,88
360000,96
460000,104
560000,112
660000,120
760000,127
860000,134
960000,141
1060000,148
1160000,154
1260000,159
1360000,164
1460000,168
1560000,171
1660000,173
1760000,174
1860000,174
1960000,173
2060000,172
2160000,169
2260000,165
2360000,161
2460000,156
2560000,150
2660000,144
2760000,137
2860000,130
2960000,122
3060000,115
3160000,107
3260000,99
3360000,91
3460000,84
3560000,76
3660000,69
3760000,62
3860000,56
3960000,50
4060000,44
4160000,39
4260000,34
4360000,30
4460000,26
4560000,22
4660000,19
4760000,16
4860000,14
4960000,12
5060000,10
5160000,8
5260000,7
5360000,6
5460000,5
5560000,4
5660000,3
5760000,2
5860000,2
5960000,2
6060000,1
6160000,1
6260000,1
6360000,1
