Ціна (грн),Кількість об'єктів
60000,50
160000,58
260000,65
360000,73
460000,82
560000,89
660000,97
760000,104
860000,110
960000,116
1060000,120
1160000,123
1260000,124
1360000,124
1460000,123
1560000,120
1660000,116
1760000,111
1860000,105
1960000,98
2060000,90
2160000,82
2260000,74
2360000,66
2460000,58
2560000,51
2660000,44
2760000,37
2860000,31
2960000,26
3060000,22
3160000,18
3260000,14
3360000,11
3460000,9
3560000,7
3660000,5
3760000,4
3860000,3
3960000,2
4060000,2
4160000,1
4260000,1
4360000,1
