Ціна (грн),Кількість об'єктів
60000,490
160000,506
260000,521
360000,536
460000,551
560000,566
660000,581
760000,596
860000,610
960000,624
1060000,637
1160000,650
1260000,663
1360000,675
1460000,687
1560000,698
1660000,708
1760000,718
1860000,728
1960000,736
2060000,744
2160000,751
2260000,758
2360000,764
2460000,769
2560000,773
2660000,776
2760000,779
2860000,780
2960000,781
3060000,781
3160000,781
3260000,779
3360000,777
3460000,773
3560000,769
3660000,764
3760000,759
3860000,752
3960000,745
4060000,737
4160000,729
4260000,720
4360000,710
4460000,699
4560000,688
4660000,677
4760000,665
4860000,652
4960000,639
5060000,626
5160000,612
5260000,598
5360000,583
5460000,569
5560000,554
5660000,539
5760000,523
5860000,508
5960000,493
6060000,477
6160000,462
6260000,446
6360000,431
6460000,416
6560000,400
6660000,385
6760000,371
6860000,356
6960000,341
7060000,327
7160000,313
7260000,300
7360000,286
7460000,273
7560000,260
7660000,248
7760000,236
7860000,224
7960000,213
8060000,202
8160000,191
8260000,181
8360000,171
8460000,161
8560000,152
8660000,143
8760000,135
8860000,127
8960000,119
9060000,112
9160000,105
9260000,98
9360000,92
9460000,86
9560000,80
9660000,74
9760000,69
9860000,65
9960000,60
