Ціна (грн),Кількість об'єктів
60000,179
160000,183
260000,187
360000,191
460000,195
560000,199
660000,202
760000,205
860000,208
960000,210
1060000,212
1160000,214
1260000,215
1360000,216
1460000,217
1560000,217
1660000,217
1760000,217
1860000,216
1960000,215
2060000,213
2160000,211
2260000,209
2360000,206
2460000,204
2560000,201
2660000,197
2760000,193
2860000,190
2960000,185
3060000,181
3160000,176
3260000,172
3360000,167
3460000,162
3560000,157
3660000,151
3760000,146
3860000,141
3960000,135
4060000,130
4160000,125
4260000,119
4360000,114
4460000,109
4560000,104
4660000,98
4760000,93
4860000,89
4960000,84
5060000,79
5160000,75
5260000,70
5360000,66
5460000,62
5560000,58
5660000,54
5760000,51
5860000,47
5960000,44
6060000,41
6160000,38
6260000,35
6360000,32
6460000,30
6560000,27
6660000,25
6760000,23
6860000,21
6960000,19
7060000,18
7160000,16
7260000,15
7360000,13
7460000,12
7560000,11
7660000,10
7760000,9
7860000,8
7960000,7
8060000,7
8160000,6
8260000,5
8360000,5
8460000,4
8560000,4
8660000,3
8760000,3
8860000,3
8960000,2
9060000,2
9160000,2
9260000,2
9360000,1
9460000,1
9560000,1
9660000,1
9760000,1
9860000,1
9960000,1
