Ціна (грн),Кількість об'єктів
60000,70
160000,86
260000,105
360000,127
460000,151
560000,177
660000,204
760000,233
860000,262
960000,291
1060000,319
1160000,345
1260000,369
1360000,388
1460000,404
1560000,414
1660000,419
1760000,418
1860000,412
1960000,401
2060000,385
2160000,364
2260000,340
2360000,314
2460000,286
2560000,256
2660000,227
2760000,199
2860000,171
2960000,146
3060000,123
3160000,102
3260000,83
3360000,67
3460000,53
3560000,42
3660000,33
3760000,25
3860000,19
3960000,14
4060000,10
4160000,7
4260000,5
4360000,4
4460000,3
4560000,2
4660000,1
4760000,1
4860000,1
