Ціна (грн),Кількість об'єктів
60000,35
160000,38
260000,42
360000,46
460000,50
560000,54
660000,58
760000,63
860000,67
960000,71
1060000,75
1160000,79
1260000,83
1360000,87
1460000,91
1560000,94
1660000,97
1760000,99
1860000,102
1960000,104
2060000,105
2160000,106
2260000,106
2360000,107
2460000,106
2560000,105
2660000,104
2760000,102
2860000,100
2960000,97
3060000,95
3160000,91
3260000,88
3360000,84
3460000,80
3560000,76
3660000,72
3760000,68
3860000,64
3960000,59
4060000,55
4160000,51
4260000,47
4360000,43
4460000,39
4560000,36
4660000,32
4760000,29
4860000,26
4960000,23
5060000,21
5160000,18
5260000,16
5360000,14
5460000,12
5560000,11
5660000,9
5760000,8
5860000,7
5960000,6
6060000,5
6160000,4
6260000,4
6360000,3
6460000,3
6560000,2
6660000,2
6760000,1
6860000,1
6960000,1
7060000,1
7160000,1
7260000,1
