Ціна (грн),Кількість об'єктів
60000,163
160000,174
260000,185
360000,196
460000,208
560000,218
660000,229
760000,239
860000,249
960000,258
1060000,266
1160000,273
1260000,280
1360000,286
1460000,291
1560000,294
1660000,297
1760000,299
1860000,299
1960000,298
2060000,297
2160000,294
2260000,290
2360000,285
2460000,279
2560000,272
2660000,264
2760000,256
2860000,246
2960000,237
3060000,227
3160000,216
3260000,205
3360000,194
3460000,183
3560000,172
3660000,161
3760000,150
3860000,139
3960000,128
4060000,118
4160000,109
4260000,99
4360000,90
4460000,82
4560000,74
4660000,67
4760000,60
4860000,54
4960000,48
5060000,42
5160000,37
5260000,33
5360000,29
5460000,25
5560000,22
5660000,19
5760000,16
5860000,14
5960000,12
6060000,10
6160000,9
6260000,7
6360000,6
6460000,5
6560000,4
6660000,4
6760000,3
6860000,3
6960000,2
7060000,2
7160000,1
7260000,1
7360000,1
7460000,1
7560000,1
