Ціна (грн),Кількість об'єктів
60000,201
160000,206
260000,211
360000,215
460000,218
560000,221
660000,223
760000,224
860000,225
960000,224
1060000,223
1160000,221
1260000,218
1360000,215
1460000,211
1560000,206
1660000,201
1760000,195
1860000,188
1960000,182
2060000,174
2160000,167
2260000,159
2360000,151
2460000,143
2560000,135
2660000,127
2760000,119
2860000,111
2960000,103
3060000,96
3160000,88
3260000,81
3360000,75
3460000,68
3560000,62
3660000,56
3760000,51
3860000,46
3960000,41
4060000,37
4160000,33
4260000,29
4360000,26
4460000,23
4560000,20
4660000,18
4760000,15
4860000,13
4960000,12
5060000,10
5160000,9
5260000,7
5360000,6
5460000,5
5560000,5
5660000,4
5760000,3
5860000,3
5960000,2
6060000,2
6160000,2
6260000,1
6360000,1
6460000,1
6560000,1
6660000,1
