Ціна (грн),Кількість об'єктів
60000,268
160000,282
260000,295
360000,307
460000,317
560000,326
660000,332
760000,337
860000,339
960000,339
1060000,337
1160000,333
1260000,327
1360000,319
1460000,310
1560000,298
1660000,286
1760000,272
1860000,257
1960000,241
2060000,225
2160000,209
2260000,192
2360000,176
2460000,160
2560000,145
2660000,130
2760000,116
2860000,103
2960000,91
3060000,80
3160000,69
3260000,60
3360000,52
3460000,44
3560000,37
3660000,32
3760000,26
3860000,22
3960000,18
4060000,15
4160000,12
4260000,10
4360000,8
4460000,6
4560000,5
4660000,4
4760000,3
4860000,2
4960000,2
5060000,1
5160000,1
5260000,1
5360000,1
