Ціна (грн),Кількість об'єктів
60000,258
160000,261
260000,263
360000,265
460000,266
560000,267
660000,268
760000,269
860000,269
960000,269
1060000,269
1160000,268
1260000,267
1360000,266
1460000,265
1560000,263
1660000,261
1760000,258
1860000,255
1960000,252
2060000,249
2160000,246
2260000,242
2360000,238
2460000,234
2560000,230
2660000,225
2760000,220
2860000,216
2960000,211
3060000,205
3160000,200
3260000,195
3360000,190
3460000,184
3560000,179
3660000,173
3760000,167
3860000,162
3960000,156
4060000,151
4160000,145
4260000,140
4360000,134
4460000,129
4560000,124
4660000,118
4760000,113
4860000,108
4960000,103
5060000,98
5160000,94
5260000,89
5360000,85
5460000,80
5560000,76
5660000,72
5760000,68
5860000,64
5960000,61
6060000,57
6160000,54
6260000,51
6360000,48
6460000,45
6560000,42
6660000,39
6760000,37
6860000,34
6960000,32
7060000,30
7160000,28
7260000,26
7360000,24
7460000,22
7560000,20
7660000,19
7760000,17
7860000,16
7960000,15
8060000,14
8160000,13
8260000,11
8360000,11
8460000,10
8560000,9
8660000,8
8760000,7
8860000,7
8960000,6
9060000,6
9160000,5
9260000,5
9360000,4
9460000,4
9560000,3
9660000,3
9760000,3
9860000,3
9960000,2
