Ціна (грн),Кількість об'єктів
60000,103
160000,105
260000,108
360000,110
460000,112
560000,114
660000,116
760000,117
860000,118
960000,119
1060000,120
1160000,120
1260000,120
1360000,120
1460000,120
1560000,119
1660000,118
1760000,117
1860000,115
1960000,113
2060000,111
2160000,109
2260000,107
2360000,104
2460000,102
2560000,99
2660000,96
2760000,93
2860000,89
2960000,86
3060000,83
3160000,79
3260000,76
3360000,72
3460000,69
3560000,65
3660000,62
3760000,59
3860000,55
3960000,52
4060000,49
4160000,46
4260000,43
4360000,40
4460000,37
4560000,35
4660000,32
4760000,30
4860000,27
4960000,25
5060000,23
5160000,21
5260000,19
5360000,18
5460000,16
5560000,15
5660000,13
5760000,12
5860000,11
5960000,10
6060000,9
6160000,8
6260000,7
6360000,6
6460000,6
6560000,5
6660000,4
6760000,4
6860000,3
6960000,3
7060000,3
7160000,2
7260000,2
7360000,2
7460000,2
7560000,1
7660000,1
7760000,1
7860000,1
7960000,1
8060000,1
8160000,1
