Ціна (грн),Кількість об'єктів
60000,178
160000,182
260000,186
360000,189
460000,191
560000,194
660000,195
760000,196
860000,197
960000,197
1060000,197
1160000,196
1260000,195
1360000,193
1460000,190
1560000,188
1660000,184
1760000,181
1860000,177
1960000,172
2060000,168
2160000,163
2260000,157
2360000,152
2460000,146
2560000,140
2660000,134
2760000,128
2860000,122
2960000,116
3060000,110
3160000,104
3260000,98
3360000,92
3460000,87
3560000,81
3660000,76
3760000,70
3860000,65
3960000,61
4060000,56
4160000,52
4260000,47
4360000,43
4460000,40
4560000,36
4660000,33
4760000,30
4860000,27
4960000,24
5060000,22
5160000,20
5260000,18
5360000,16
5460000,14
5560000,12
5660000,11
5760000,10
5860000,9
5960000,8
6060000,7
6160000,6
6260000,5
6360000,4
6460000,4
6560000,3
6660000,3
6760000,2
6860000,2
6960000,2
7060000,2
7160000,1
7260000,1
7360000,1
7460000,1
7560000,1
7660000,1
