Ціна (грн),Кількість об'єктів
60000,558
160000,574
260000,589
360000,603
460000,616
560000,628
660000,638
760000,647
860000,655
960000,662
1060000,666
1160000,670
1260000,672
1360000,672
1460000,671
1560000,668
1660000,664
1760000,659
1860000,651
1960000,643
2060000,633
2160000,622
2260000,610
2360000,596
2460000,582
2560000,566
2660000,550
2760000,533
2860000,515
2960000,497
3060000,478
3160000,459
3260000,440
3360000,421
3460000,401
3560000,382
3660000,362
3760000,343
3860000,324
3960000,306
4060000,287
4160000,270
4260000,253
4360000,236
4460000,220
4560000,205
4660000,190
4760000,176
4860000,162
4960000,149
5060000,137
5160000,126
5260000,115
5360000,105
5460000,96
5560000,87
5660000,79
5760000,72
5860000,65
5960000,58
6060000,52
6160000,47
6260000,42
6360000,37
6460000,33
6560000,30
6660000,26
6760000,23
6860000,20
6960000,18
7060000,16
7160000,14
7260000,12
7360000,11
7460000,9
7560000,8
7660000,7
7760000,6
7860000,5
7960000,4
8060000,4
8160000,3
8260000,3
8360000,2
8460000,2
8560000,2
8660000,1
8760000,1
8860000,1
8960000,1
9060000,1
9160000,1
9260000,1
