Ціна (грн),Кількість об'єктів
60000,509
160000,541
260000,570
360000,596
460000,619
560000,638
660000,653
760000,663
860000,668
960000,669
1060000,664
1160000,654
1260000,640
1360000,621
1460000,599
1560000,572
1660000,543
1760000,512
1860000,479
1960000,444
2060000,409
2160000,374
2260000,340
2360000,306
2460000,274
2560000,243
2660000,214
2760000,187
2860000,162
2960000,140
3060000,119
3160000,101
3260000,85
3360000,71
3460000,59
3560000,49
3660000,40
3760000,32
3860000,26
3960000,21
4060000,16
4160000,13
4260000,10
4360000,8
4460000,6
4560000,5
4660000,4
4760000,3
4860000,2
4960000,1
5060000,1
5160000,1
5260000,1
