Ціна (грн),Кількість об'єктів
60000,509
160000,552
260000,594
360000,633
460000,669
560000,702
660000,729
760000,752
860000,769
960000,779
1060000,783
1160000,781
1260000,772
1360000,756
1460000,735
1560000,708
1660000,677
1760000,642
1860000,603
1960000,562
2060000,519
2160000,475
2260000,432
2360000,389
2460000,348
2560000,308
2660000,270
2760000,236
2860000,203
2960000,174
3060000,148
3160000,125
3260000,104
3360000,86
3460000,71
3560000,58
3660000,47
3760000,37
3860000,30
3960000,23
4060000,18
4160000,14
4260000,11
4360000,8
4460000,6
4560000,5
4660000,3
4760000,3
4860000,2
4960000,1
5060000,1
5160000,1
