Ціна (грн),Кількість об'єктів
60000,868
160000,884
260000,898
360000,911
460000,922
560000,932
660000,940
760000,947
860000,951
960000,954
1060000,955
1160000,955
1260000,952
1360000,948
1460000,942
1560000,935
1660000,925
1760000,915
1860000,902
1960000,889
2060000,873
2160000,857
2260000,839
2360000,820
2460000,800
2560000,779
2660000,757
2760000,735
2860000,712
2960000,688
3060000,664
3160000,639
3260000,614
3360000,589
3460000,565
3560000,540
3660000,515
3760000,491
3860000,466
3960000,443
4060000,419
4160000,396
4260000,374
4360000,352
4460000,331
4560000,311
4660000,291
4760000,272
4860000,254
4960000,237
5060000,220
5160000,204
5260000,189
5360000,175
5460000,161
5560000,149
5660000,137
5760000,126
5860000,115
5960000,105
6060000,96
6160000,87
6260000,80
6360000,72
6460000,65
6560000,59
6660000,53
6760000,48
6860000,43
6960000,39
7060000,35
7160000,31
7260000,28
7360000,25
7460000,22
7560000,20
7660000,17
7760000,15
7860000,14
7960000,12
8060000,11
8160000,9
8260000,8
8360000,7
8460000,6
8560000,5
8660000,5
8760000,4
8860000,4
8960000,3
9060000,3
9160000,2
9260000,2
9360000,2
9460000,1
9560000,1
9660000,1
9760000,1
9860000,1
9960000,1
