Ціна (грн),Кількість об'єктів
60000,246
160000,258
260000,269
360000,280
460000,290
560000,299
660000,306
760000,313
860000,318
960000,321
1060000,323
1160000,324
1260000,323
1360000,321
1460000,317
1560000,312
1660000,305
1760000,297
1860000,289
1960000,279
2060000,268
2160000,256
2260000,244
2360000,231
2460000,218
2560000,205
2660000,191
2760000,178
2860000,165
2960000,152
3060000,139
3160000,127
3260000,116
3360000,105
3460000,94
3560000,85
3660000,76
3760000,67
3860000,59
3960000,52
4060000,46
4160000,40
4260000,35
4360000,30
4460000,26
4560000,22
4660000,19
4760000,16
4860000,13
4960000,11
5060000,9
5160000,8
5260000,6
5360000,5
5460000,4
5560000,4
5660000,3
5760000,2
5860000,2
5960000,2
6060000,1
6160000,1
6260000,1
6360000,1
