Ціна (грн),Кількість об'єктів
60000,500
160000,559
260000,616
360000,670
460000,720
560000,763
660000,797
760000,823
860000,838
960000,842
1060000,835
1160000,817
1260000,789
1360000,752
1460000,707
1560000,657
1660000,601
1760000,544
1860000,485
1960000,427
2060000,371
2160000,318
2260000,269
2360000,224
2460000,185
2560000,150
2660000,121
2760000,96
2860000,75
2960000,58
3060000,44
3160000,33
3260000,24
3360000,18
3460000,13
3560000,9
3660000,6
3760000,4
3860000,3
3960000,2
4060000,1
4160000,1
4260000,1
