Ціна (грн),Кількість об'єктів
60000,33
160000,39
260000,46
360000,54
460000,63
560000,72
660000,82
760000,93
860000,104
960000,116
1060000,129
1160000,141
1260000,153
1360000,165
1460000,176
1560000,187
1660000,197
1760000,205
1860000,212
1960000,218
2060000,222
2160000,224
2260000,224
2360000,223
2460000,219
2560000,214
2660000,208
2760000,200
2860000,191
2960000,180
3060000,169
3160000,157
3260000,145
3360000,133
3460000,121
3560000,109
3660000,97
3760000,86
3860000,76
3960000,66
4060000,57
4160000,49
4260000,42
4360000,35
4460000,29
4560000,24
4660000,20
4760000,16
4860000,13
4960000,11
5060000,9
5160000,7
5260000,5
5360000,4
5460000,3
5560000,2
5660000,2
5760000,1
5860000,1
5960000,1
6060000,1
