Ціна (грн),Кількість об'єктів
60000,5
160000,6
260000,7
360000,8
460000,9
560000,11
660000,12
760000,13
860000,15
960000,16
1060000,17
1160000,18
1260000,20
1360000,21
1460000,22
1560000,22
1660000,23
1760000,23
1860000,24
1960000,24
2060000,23
2160000,23
2260000,22
2360000,21
2460000,20
2560000,19
2660000,18
2760000,17
2860000,16
2960000,14
3060000,13
3160000,11
3260000,10
3360000,9
3460000,8
3560000,7
3660000,6
3760000,5
3860000,4
3960000,3
4060000,3
4160000,2
4260000,2
4360000,2
4460000,1
4560000,1
4660000,1
4760000,1
