Ціна (грн),Кількість об'єктів
60000,24
160000,30
260000,37
360000,44
460000,53
560000,63
660000,74
760000,86
860000,99
960000,113
1060000,127
1160000,142
1260000,156
1360000,171
1460000,185
1560000,198
1660000,210
1760000,220
1860000,228
1960000,235
2060000,239
2160000,240
2260000,240
2360000,237
2460000,231
2560000,223
2660000,214
2760000,202
2860000,190
2960000,176
3060000,162
3160000,147
3260000,132
3360000,118
3460000,104
3560000,91
3660000,78
3760000,67
3860000,57
3960000,48
4060000,39
4160000,32
4260000,26
4360000,21
4460000,17
4560000,13
4660000,10
4760000,8
4860000,6
4960000,5
5060000,3
5160000,3
5260000,2
5360000,1
5460000,1
5560000,1
