Ціна (грн),Кількість об'єктів
60000,1
160000,1
260000,1
360000,2
460000,2
560000,2
660000,3
760000,3
860000,4
960000,5
1060000,6
1160000,6
1260000,7
1360000,8
1460000,9
1560000,10
1660000,11
1760000,12
1860000,13
1960000,14
2060000,15
2160000,16
2260000,16
2360000,17
2460000,17
2560000,17
2660000,17
2760000,17
2860000,16
2960000,16
3060000,15
3160000,14
3260000,14
3360000,13
3460000,12
3560000,11
3660000,10
3760000,9
3860000,8
3960000,7
4060000,6
4160000,5
4260000,4
4360000,4
4460000,3
4560000,3
4660000,2
4760000,2
4860000,1
4960000,1
5060000,1
5160000,1
5260000,1
