Ціна (грн),Кількість об'єктів
60000,180
160000,188
260000,196
360000,205
460000,213
560000,222
660000,230
760000,239
860000,247
960000,255
1060000,263
1160000,270
1260000,278
1360000,285
1460000,292
1560000,298
1660000,304
1760000,310
1860000,315
1960000,320
2060000,324
2160000,328
2260000,331
2360000,333
2460000,336
2560000,337
2660000,338
2760000,338
2860000,338
2960000,337
3060000,336
3160000,334
3260000,332
3360000,329
3460000,325
3560000,321
3660000,317
3760000,311
3860000,306
3960000,300
4060000,294
4160000,287
4260000,280
4360000,273
4460000,265
4560000,258
4660000,250
4760000,241
4860000,233
4960000,225
5060000,216
5160000,208
5260000,199
5360000,191
5460000,182
5560000,174
5660000,166
5760000,158
5860000,150
5960000,142
6060000,134
6160000,127
6260000,119
6360000,112
6460000,106
6560000,99
6660000,93
6760000,87
6860000,81
6960000,75
7060000,70
7160000,65
7260000,60
7360000,56
7460000,51
7560000,47
7660000,44
7760000,40
7860000,37
7960000,34
8060000,31
8160000,28
8260000,26
8360000,23
8460000,21
8560000,19
8660000,17
8760000,16
8860000,14
8960000,13
9060000,11
9160000,10
9260000,9
9360000,8
9460000,7
9560000,7
9660000,6
9760000,5
9860000,5
9960000,4
