Ціна (грн),Кількість об'єктів
60000,4
160000,5
260000,6
360000,7
460000,9
560000,10
660000,12
760000,14
860000,15
960000,17
1060000,20
1160000,22
1260000,24
1360000,26
1460000,28
1560000,30
1660000,31
1760000,33
1860000,34
1960000,35
2060000,36
2160000,36
2260000,36
2360000,36
2460000,35
2560000,34
2660000,33
2760000,32
2860000,30
2960000,28
3060000,26
3160000,24
3260000,22
3360000,20
3460000,18
3560000,16
3660000,14
3760000,12
3860000,10
3960000,9
4060000,8
4160000,6
4260000,5
4360000,4
4460000,4
4560000,3
4660000,2
4760000,2
4860000,1
4960000,1
5060000,1
5160000,1
5260000,1
