Ціна (грн),Кількість об'єктів
60000,83
160000,88
260000,93
360000,97
460000,102
560000,106
660000,110
760000,114
860000,118
960000,121
1060000,124
1160000,126
1260000,129
1360000,130
1460000,132
1560000,133
1660000,133
1760000,133
1860000,132
1960000,131
2060000,130
2160000,128
2260000,126
2360000,123
2460000,120
2560000,117
2660000,113
2760000,109
2860000,105
2960000,101
3060000,96
3160000,91
3260000,87
3360000,82
3460000,77
3560000,72
3660000,68
3760000,63
3860000,59
3960000,54
4060000,50
4160000,46
4260000,42
4360000,38
4460000,35
4560000,32
4660000,29
4760000,26
4860000,23
4960000,21
5060000,18
5160000,16
5260000,14
5360000,13
5460000,11
5560000,10
5660000,9
5760000,7
5860000,6
5960000,6
6060000,5
6160000,4
6260000,3
6360000,3
6460000,3
6560000,2
6660000,2
6760000,1
6860000,1
6960000,1
7060000,1
7160000,1
7260000,1
