Ціна (грн),Кількість об'єктів
60000,15
160000,17
260000,20
360000,23
460000,26
560000,29
660000,32
760000,35
860000,38
960000,42
1060000,45
1160000,48
1260000,51
1360000,54
1460000,57
1560000,59
1660000,61
1760000,63
1860000,64
1960000,65
2060000,65
2160000,65
2260000,64
2360000,63
2460000,61
2560000,59
2660000,57
2760000,54
2860000,51
2960000,48
3060000,45
3160000,42
3260000,38
3360000,35
3460000,32
3560000,29
3660000,26
3760000,23
3860000,20
3960000,17
4060000,15
4160000,13
4260000,11
4360000,9
4460000,8
4560000,7
4660000,6
4760000,5
4860000,4
4960000,3
5060000,2
5160000,2
5260000,2
5360000,1
5460000,1
5560000,1
5660000,1
