Ціна (грн),Кількість об'єктів
60000,3
160000,3
260000,4
360000,5
460000,5
560000,6
660000,7
760000,9
860000,10
960000,11
1060000,13
1160000,14
1260000,16
1360000,17
1460000,19
1560000,20
1660000,21
1760000,23
1860000,24
1960000,25
2060000,25
2160000,26
2260000,26
2360000,27
2460000,26
2560000,26
2660000,26
2760000,25
2860000,24
2960000,23
3060000,22
3160000,20
3260000,19
3360000,17
3460000,16
3560000,14
3660000,13
3760000,11
3860000,10
3960000,9
4060000,8
4160000,7
4260000,6
4360000,5
4460000,4
4560000,3
4660000,3
4760000,2
4860000,2
4960000,1
5060000,1
5160000,1
5260000,1
5360000,1
