Ціна (грн),Кількість об'єктів
60000,2
160000,2
260000,2
360000,3
460000,3
560000,4
660000,5
760000,5
860000,6
960000,7
1060000,8
1160000,9
1260000,11
1360000,12
1460000,13
1560000,15
1660000,17
1760000,18
1860000,20
1960000,22
2060000,24
2160000,25
2260000,27
2360000,28
2460000,30
2560000,31
2660000,33
2760000,34
2860000,35
2960000,35
3060000,36
3160000,36
3260000,36
3360000,36
3460000,35
3560000,35
3660000,34
3760000,33
3860000,31
3960000,30
4060000,29
4160000,27
4260000,25
4360000,24
4460000,22
4560000,20
4660000,18
4760000,17
4860000,15
4960000,14
5060000,12
5160000,11
5260000,9
5360000,8
5460000,7
5560000,6
5660000,5
5760000,5
5860000,4
5960000,3
6060000,3
6160000,2
6260000,2
6360000,2
6460000,1
6560000,1
6660000,1
6760000,1
6860000,1
