Ціна (грн),Кількість об'єктів
60000,37
160000,39
260000,41
360000,44
460000,46
560000,48
660000,50
760000,53
860000,55
960000,58
1060000,60
1160000,63
1260000,65
1360000,67
1460000,70
1560000,72
1660000,75
1760000,77
1860000,79
1960000,81
2060000,84
2160000,86
2260000,88
2360000,90
2460000,91
2560000,93
2660000,95
2760000,96
2860000,97
2960000,99
3060000,100
3160000,101
3260000,101
3360000,102
3460000,102
3560000,103
3660000,103
3760000,103
3860000,103
3960000,102
4060000,102
4160000,101
4260000,100
4360000,99
4460000,98
4560000,97
4660000,96
4760000,94
4860000,93
4960000,91
5060000,89
5160000,87
5260000,85
5360000,83
5460000,81
5560000,79
5660000,76
5760000,74
5860000,72
5960000,69
6060000,67
6160000,64
6260000,62
6360000,59
6460000,57
6560000,54
6660000,52
6760000,50
6860000,47
6960000,45
7060000,43
7160000,41
7260000,38
7360000,36
7460000,34
7560000,32
7660000,30
7760000,29
7860000,27
7960000,25
8060000,24
8160000,22
8260000,21
8360000,19
8460000,18
8560000,16
8660000,15
8760000,14
8860000,13
8960000,12
9060000,11
9160000,10
9260000,9
9360000,9
9460000,8
9560000,7
9660000,7
9760000,6
9860000,5
9960000,5
