Date,Time,Digital code,Letter code,Unit,Currency name,"Official hrivnya exchange rates, UAH"
01.01.2018,00.00,840,USD,100,,2806.7223
02.01.2018,00.00,840,USD,100,,2806.7223
03.01.2018,00.00,840,USD,100,,2806.7223
04.01.2018,00.00,840,USD,100,,2789.054
05.01.2018,00.00,840,USD,100,,2801.3366
06.01.2018,00.00,840,USD,100,,2801.3366
07.01.2018,00.00,840,USD,100,,2801.3366
08.01.2018,00.00,840,USD,100,,2801.3366
09.01.2018,00.00,840,USD,100,,2820.3329
10.01.2018,00.00,840,USD,100,,2820.3244
11.01.2018,00.00,840,USD,100,,2832.8813
12.01.2018,00.00,840,USD,100,,2844.5711
13.01.2018,00.00,840,USD,100,,2844.5711
14.01.2018,00.00,840,USD,100,,2844.5711
15.01.2018,00.00,840,USD,100,,2853.6637
16.01.2018,00.00,840,USD,100,,2856.7664
17.01.2018,00.00,840,USD,100,,2865.2576
18.01.2018,00.00,840,USD,100,,2866.6132
19.01.2018,00.00,840,USD,100,,2877.7485
20.01.2018,00.00,840,USD,100,,2877.7485
21.01.2018,00.00,840,USD,100,,2877.7485
22.01.2018,00.00,840,USD,100,,2884.4816
23.01.2018,00.00,840,USD,100,,2887.5837
24.01.2018,00.00,840,USD,100,,2886.4823
25.01.2018,00.00,840,USD,100,,2886.5367
26.01.2018,00.00,840,USD,100,,2874.5248
27.01.2018,00.00,840,USD,100,,2874.5248
28.01.2018,00.00,840,USD,100,,2874.5248
29.01.2018,00.00,840,USD,100,,2854.8638
30.01.2018,00.00,840,USD,100,,2824.6515
31.01.2018,00.00,840,USD,100,,2800.8791
01.02.2018,00.00,840,USD,100,,2784.3493
02.02.2018,00.00,840,USD,100,,2786.9462
03.02.2018,00.00,840,USD,100,,2786.9462
04.02.2018,00.00,840,USD,100,,2786.9462
05.02.2018,00.00,840,USD,100,,2788.7139
06.02.2018,00.00,840,USD,100,,2774.2448
07.02.2018,00.00,840,USD,100,,2746.0866
08.02.2018,00.00,840,USD,100,,2711.9635
09.02.2018,00.00,840,USD,100,,2712.4023
10.02.2018,00.00,840,USD,100,,2712.4023
11.02.2018,00.00,840,USD,100,,2712.4023
12.02.2018,00.00,840,USD,100,,2705.8546
13.02.2018,00.00,840,USD,100,,2684.0367
14.02.2018,00.00,840,USD,100,,2669.948
15.02.2018,00.00,840,USD,100,,2665.4762
16.02.2018,00.00,840,USD,100,,2675.9805
17.02.2018,00.00,840,USD,100,,2675.9805
18.02.2018,00.00,840,USD,100,,2675.9805
19.02.2018,00.00,840,USD,100,,2699.0889
20.02.2018,00.00,840,USD,100,,2701.1922
21.02.2018,00.00,840,USD,100,,2707.2945
22.02.2018,00.00,840,USD,100,,2698.8039
23.02.2018,00.00,840,USD,100,,2707.1843
24.02.2018,00.00,840,USD,100,,2707.1843
25.02.2018,00.00,840,USD,100,,2707.1843
26.02.2018,00.00,840,USD,100,,2698.8658
27.02.2018,00.00,840,USD,100,,2700.661
28.02.2018,00.00,840,USD,100,,2694.8185
01.03.2018,00.00,840,USD,100,,2680.5516
02.03.2018,00.00,840,USD,100,,2666.9496
03.03.2018,00.00,840,USD,100,,2653.5904
04.03.2018,00.00,840,USD,100,,2653.5904
05.03.2018,00.00,840,USD,100,,2653.5904
06.03.2018,00.00,840,USD,100,,2648.208
07.03.2018,00.00,840,USD,100,,2634.8957
08.03.2018,00.00,840,USD,100,,2634.8957
09.03.2018,00.00,840,USD,100,,2634.8957
10.03.2018,00.00,840,USD,100,,2634.8957
11.03.2018,00.00,840,USD,100,,2634.8957
12.03.2018,00.00,840,USD,100,,2609.3953
13.03.2018,00.00,840,USD,100,,2592.4612
14.03.2018,00.00,840,USD,100,,2591.5887
15.03.2018,00.00,840,USD,100,,2601.3978
16.03.2018,00.00,840,USD,100,,2627.2654
17.03.2018,00.00,840,USD,100,,2627.2654
18.03.2018,00.00,840,USD,100,,2627.2654
19.03.2018,00.00,840,USD,100,,2635.391
20.03.2018,00.00,840,USD,100,,2643.6044
21.03.2018,00.00,840,USD,100,,2630.1118
22.03.2018,00.00,840,USD,100,,2628.0974
23.03.2018,00.00,840,USD,100,,2625.3649
24.03.2018,00.00,840,USD,100,,2625.3649
25.03.2018,00.00,840,USD,100,,2625.3649
26.03.2018,00.00,840,USD,100,,2626.5478
27.03.2018,00.00,840,USD,100,,2630.439
28.03.2018,00.00,840,USD,100,,2630.627
29.03.2018,00.00,840,USD,100,,2640.5249
30.03.2018,00.00,840,USD,100,,2654.3493
31.03.2018,00.00,840,USD,100,,2654.3493
01.04.2018,00.00,840,USD,100,,2654.3493
02.04.2018,00.00,840,USD,100,,2630.7046
03.04.2018,00.00,840,USD,100,,2616.096
04.04.2018,00.00,840,USD,100,,2632.9568
05.04.2018,00.00,840,USD,100,,2626.3057
06.04.2018,00.00,840,USD,100,,2606.6537
07.04.2018,00.00,840,USD,100,,2606.6537
08.04.2018,00.00,840,USD,100,,2606.6537
09.04.2018,00.00,840,USD,100,,2606.6537
10.04.2018,00.00,840,USD,100,,2602.6968
11.04.2018,00.00,840,USD,100,,2597.5527
12.04.2018,00.00,840,USD,100,,2592.5912
13.04.2018,00.00,840,USD,100,,2598.635
14.04.2018,00.00,840,USD,100,,2598.635
15.04.2018,00.00,840,USD,100,,2598.635
16.04.2018,00.00,840,USD,100,,2612.4909
17.04.2018,00.00,840,USD,100,,2608.9279
18.04.2018,00.00,840,USD,100,,2608.2873
19.04.2018,00.00,840,USD,100,,2614.7772
20.04.2018,00.00,840,USD,100,,2622.5963
