Ціна (грн),Кількість об'єктів
60000,218
160000,228
260000,237
360000,245
460000,254
560000,262
660000,269
760000,276
860000,283
960000,289
1060000,294
1160000,298
1260000,302
1360000,305
1460000,307
1560000,308
1660000,308
1760000,308
1860000,307
1960000,305
2060000,302
2160000,298
2260000,294
2360000,289
2460000,283
2560000,277
2660000,270
2760000,262
2860000,254
2960000,246
3060000,237
3160000,228
3260000,219
3360000,209
3460000,199
3560000,190
3660000,180
3760000,170
3860000,161
3960000,151
4060000,142
4160000,133
4260000,124
4360000,116
4460000,107
4560000,99
4660000,92
4760000,85
4860000,78
4960000,71
5060000,65
5160000,59
5260000,54
5360000,49
5460000,44
5560000,40
5660000,36
5760000,32
5860000,29
5960000,26
6060000,23
6160000,20
6260000,18
6360000,16
6460000,14
6560000,12
6660000,11
6760000,9
6860000,8
6960000,7
7060000,6
7160000,5
7260000,5
7360000,4
7460000,3
7560000,3
7660000,2
7760000,2
7860000,2
7960000,1
8060000,1
8160000,1
8260000,1
8360000,1
8460000,1
8560000,1
