Ціна (грн),Кількість об'єктів
60000,283
160000,337
260000,395
360000,455
460000,516
560000,576
660000,632
760000,682
860000,725
960000,757
1060000,779
1160000,788
1260000,784
1360000,768
1460000,740
1560000,701
1660000,654
1760000,600
1860000,541
1960000,481
2060000,420
2160000,361
2260000,305
2360000,254
2460000,208
2560000,168
2660000,133
2760000,104
2860000,79
2960000,60
3060000,45
3160000,33
3260000,23
3360000,17
3460000,11
3560000,8
3660000,5
3760000,4
3860000,2
3960000,1
4060000,1
4160000,1
