Ціна (грн),Кількість об'єктів
60000,77
160000,80
260000,83
360000,85
460000,87
560000,89
660000,91
760000,93
860000,94
960000,95
1060000,96
1160000,96
1260000,96
1360000,95
1460000,95
1560000,94
1660000,92
1760000,91
1860000,89
1960000,87
2060000,84
2160000,82
2260000,79
2360000,76
2460000,73
2560000,70
2660000,66
2760000,63
2860000,60
2960000,56
3060000,53
3160000,50
3260000,46
3360000,43
3460000,40
3560000,37
3660000,34
3760000,31
3860000,28
3960000,26
4060000,24
4160000,21
4260000,19
4360000,17
4460000,15
4560000,14
4660000,12
4760000,11
4860000,10
4960000,8
5060000,7
5160000,6
5260000,6
5360000,5
5460000,4
5560000,4
5660000,3
5760000,3
5860000,2
5960000,2
6060000,2
6160000,1
6260000,1
6360000,1
6460000,1
6560000,1
6660000,1
