Ціна (грн),Кількість об'єктів
60000,377
160000,391
260000,403
360000,414
460000,423
560000,430
660000,435
760000,438
860000,439
960000,439
1060000,436
1160000,431
1260000,424
1360000,416
1460000,406
1560000,394
1660000,381
1760000,366
1860000,351
1960000,334
2060000,317
2160000,300
2260000,282
2360000,264
2460000,246
2560000,228
2660000,210
2760000,193
2860000,177
2960000,161
3060000,146
3160000,131
3260000,118
3360000,105
3460000,94
3560000,83
3660000,73
3760000,64
3860000,56
3960000,49
4060000,42
4160000,36
4260000,31
4360000,27
4460000,23
4560000,19
4660000,16
4760000,13
4860000,11
4960000,9
5060000,8
5160000,6
5260000,5
5360000,4
5460000,3
5560000,3
5660000,2
5760000,2
5860000,1
5960000,1
6060000,1
6160000,1
6260000,1
