Ціна (грн),Кількість об'єктів
60000,153
160000,169
260000,185
360000,200
460000,216
560000,230
660000,244
760000,257
860000,269
960000,279
1060000,287
1160000,293
1260000,297
1360000,298
1460000,298
1560000,295
1660000,290
1760000,283
1860000,274
1960000,263
2060000,251
2160000,238
2260000,223
2360000,208
2460000,193
2560000,177
2660000,161
2760000,146
2860000,131
2960000,117
3060000,103
3160000,90
3260000,79
3360000,68
3460000,58
3560000,50
3660000,42
3760000,35
3860000,29
3960000,24
4060000,20
4160000,16
4260000,13
4360000,10
4460000,8
4560000,7
4660000,5
4760000,4
4860000,3
4960000,2
5060000,2
5160000,1
5260000,1
5360000,1
5460000,1
