Ціна (грн),Кількість об'єктів
60000,201
160000,211
260000,221
360000,230
460000,239
560000,248
660000,257
760000,265
860000,272
960000,279
1060000,285
1160000,291
1260000,296
1360000,300
1460000,303
1560000,305
1660000,306
1760000,307
1860000,306
1960000,305
2060000,303
2160000,300
2260000,296
2360000,291
2460000,286
2560000,280
2660000,273
2760000,266
2860000,258
2960000,249
3060000,241
3160000,231
3260000,222
3360000,212
3460000,202
3560000,192
3660000,182
3760000,172
3860000,162
3960000,152
4060000,143
4160000,133
4260000,124
4360000,115
4460000,107
4560000,99
4660000,91
4760000,83
4860000,76
4960000,70
5060000,63
5160000,57
5260000,52
5360000,47
5460000,42
5560000,38
5660000,34
5760000,30
5860000,27
5960000,24
6060000,21
6160000,19
6260000,16
6360000,14
6460000,12
6560000,11
6660000,9
6760000,8
6860000,7
6960000,6
7060000,5
7160000,4
7260000,4
7360000,3
7460000,3
7560000,2
7660000,2
7760000,2
7860000,1
7960000,1
8060000,1
8160000,1
8260000,1
8360000,1
