Ціна (грн),Кількість об'єктів
60000,697
160000,716
260000,734
360000,752
460000,769
560000,785
660000,800
760000,815
860000,829
960000,841
1060000,853
1160000,864
1260000,873
1360000,881
1460000,888
1560000,894
1660000,899
1760000,902
1860000,904
1960000,905
2060000,905
2160000,903
2260000,900
2360000,896
2460000,890
2560000,883
2660000,875
2760000,866
2860000,856
2960000,844
3060000,832
3160000,818
3260000,804
3360000,789
3460000,773
3560000,756
3660000,738
3760000,720
3860000,702
3960000,682
4060000,663
4160000,643
4260000,623
4360000,602
4460000,581
4560000,561
4660000,540
4760000,519
4860000,499
4960000,478
5060000,458
5160000,438
5260000,418
5360000,398
5460000,379
5560000,361
5660000,342
5760000,324
5860000,307
5960000,290
6060000,274
6160000,258
6260000,243
6360000,228
6460000,214
6560000,201
6660000,188
6760000,176
6860000,164
6960000,153
7060000,142
7160000,132
7260000,123
7360000,114
7460000,105
7560000,97
7660000,90
7760000,82
7860000,76
7960000,70
8060000,64
8160000,59
8260000,54
8360000,49
8460000,45
8560000,41
8660000,37
8760000,34
8860000,30
8960000,28
9060000,25
9160000,22
9260000,20
9360000,18
9460000,16
9560000,15
9660000,13
9760000,12
9860000,11
9960000,9
