Ціна (грн),Кількість об'єктів
60000,396
160000,408
260000,418
360000,428
460000,436
560000,444
660000,450
760000,454
860000,458
960000,460
1060000,461
1160000,460
1260000,458
1360000,455
1460000,450
1560000,444
1660000,437
1760000,428
1860000,419
1960000,408
2060000,397
2160000,384
2260000,371
2360000,358
2460000,343
2560000,329
2660000,314
2760000,299
2860000,283
2960000,268
3060000,253
3160000,238
3260000,223
3360000,208
3460000,194
3560000,180
3660000,167
3760000,154
3860000,142
3960000,131
4060000,119
4160000,109
4260000,99
4360000,90
4460000,81
4560000,73
4660000,66
4760000,59
4860000,53
4960000,47
5060000,42
5160000,37
5260000,33
5360000,29
5460000,25
5560000,22
5660000,19
5760000,17
5860000,15
5960000,13
6060000,11
6160000,9
6260000,8
6360000,7
6460000,6
6560000,5
6660000,4
6760000,4
6860000,3
6960000,2
7060000,2
7160000,2
7260000,1
7360000,1
7460000,1
7560000,1
7660000,1
7760000,1
