Ціна (грн),Кількість об'єктів
60000,480
160000,527
260000,573
360000,615
460000,652
560000,684
660000,708
760000,725
860000,733
960000,733
1060000,724
1160000,706
1260000,681
1360000,649
1460000,611
1560000,569
1660000,523
1760000,475
1860000,427
1960000,379
2060000,332
2160000,288
2260000,246
2360000,208
2460000,174
2560000,144
2660000,117
2760000,95
2860000,75
2960000,59
3060000,46
3160000,36
3260000,27
3360000,20
3460000,15
3560000,11
3660000,8
3760000,6
3860000,4
3960000,3
4060000,2
4160000,1
4260000,1
4360000,1
