Ціна (грн),Кількість об'єктів
60000,626
160000,660
260000,693
360000,725
460000,757
560000,788
660000,818
760000,846
860000,873
960000,898
1060000,921
1160000,942
1260000,961
1360000,977
1460000,990
1560000,1001
1660000,1009
1760000,1014
1860000,1016
1960000,1015
2060000,1011
2160000,1005
2260000,995
2360000,982
2460000,967
2560000,950
2660000,930
2760000,907
2860000,883
2960000,857
3060000,829
3160000,800
3260000,769
3360000,738
3460000,705
3560000,673
3660000,639
3760000,606
3860000,573
3960000,540
4060000,507
4160000,475
4260000,444
4360000,413
4460000,384
4560000,356
4660000,328
4760000,302
4860000,277
4960000,254
5060000,232
5160000,211
5260000,191
5360000,173
5460000,156
5560000,140
5660000,126
5760000,113
5860000,100
5960000,89
6060000,79
6160000,70
6260000,62
6360000,54
6460000,47
6560000,41
6660000,36
6760000,31
6860000,27
6960000,23
7060000,20
7160000,17
7260000,15
7360000,13
7460000,11
7560000,9
7660000,8
7760000,6
7860000,5
7960000,5
8060000,4
8160000,3
8260000,3
8360000,2
8460000,2
8560000,1
8660000,1
8760000,1
8860000,1
8960000,1
9060000,1
