Ціна (грн),Кількість об'єктів
60000,201
160000,229
260000,259
360000,290
460000,323
560000,356
660000,390
760000,424
860000,457
960000,488
1060000,518
1160000,545
1260000,570
1360000,590
1460000,607
1560000,619
1660000,626
1760000,629
1860000,626
1960000,619
2060000,607
2160000,590
2260000,569
2360000,545
2460000,518
2560000,488
2660000,456
2760000,423
2860000,390
2960000,356
3060000,322
3160000,290
3260000,258
3360000,229
3460000,201
3560000,175
3660000,151
3760000,129
3860000,110
3960000,93
4060000,78
4160000,65
4260000,53
4360000,43
4460000,35
4560000,28
4660000,23
4760000,18
4860000,14
4960000,11
5060000,9
5160000,7
5260000,5
5360000,4
5460000,3
5560000,2
5660000,2
5760000,1
5860000,1
5960000,1
