Ціна (грн),Кількість об'єктів
60000,423
160000,434
260000,444
360000,455
460000,465
560000,476
660000,486
760000,496
860000,506
960000,516
1060000,525
1160000,535
1260000,544
1360000,552
1460000,561
1560000,569
1660000,577
1760000,585
1860000,592
1960000,599
2060000,606
2160000,612
2260000,617
2360000,623
2460000,628
2560000,632
2660000,636
2760000,640
2860000,643
2960000,646
3060000,648
3160000,650
3260000,651
3360000,652
3460000,652
3560000,652
3660000,651
3760000,650
3860000,649
3960000,647
4060000,644
4160000,641
4260000,638
4360000,634
4460000,629
4560000,624
4660000,619
4760000,613
4860000,607
4960000,601
5060000,594
5160000,587
5260000,580
5360000,572
5460000,564
5560000,555
5660000,546
5760000,537
5860000,528
5960000,519
6060000,509
6160000,499
6260000,489
6360000,479
6460000,469
6560000,458
6660000,448
6760000,437
6860000,426
6960000,416
7060000,405
7160000,394
7260000,383
7360000,372
7460000,362
7560000,351
7660000,340
7760000,330
7860000,319
7960000,309
8060000,299
8160000,289
8260000,279
8360000,269
8460000,259
8560000,250
8660000,240
8760000,231
8860000,222
8960000,213
9060000,205
9160000,197
9260000,188
9360000,180
9460000,173
9560000,165
9660000,158
9760000,151
9860000,144
9960000,137
