Ціна (грн),Кількість об'єктів
60000,51
160000,67
260000,87
360000,110
460000,137
560000,169
660000,204
760000,244
860000,286
960000,330
1060000,376
1160000,421
1260000,464
1360000,504
1460000,538
1560000,566
1660000,586
1760000,598
1860000,600
1960000,593
2060000,577
2160000,553
2260000,522
2360000,484
2460000,443
2560000,398
2660000,353
2760000,308
2860000,264
2960000,223
3060000,186
3160000,152
3260000,123
3360000,98
3460000,76
3560000,59
3660000,45
3760000,33
3860000,24
3960000,18
4060000,13
4160000,9
4260000,6
4360000,4
4460000,3
4560000,2
4660000,1
4760000,1
