Ціна (грн),Кількість об'єктів
60000,128
160000,158
260000,192
360000,231
460000,276
560000,326
660000,380
760000,439
860000,502
960000,568
1060000,636
1160000,705
1260000,772
1360000,838
1460000,899
1560000,955
1660000,1003
1760000,1043
1860000,1072
1960000,1092
2060000,1099
2160000,1096
2260000,1080
2360000,1054
2460000,1018
2560000,972
2660000,919
2760000,860
2860000,796
2960000,729
3060000,660
3160000,592
3260000,525
3360000,461
3460000,400
3560000,344
3660000,293
3760000,246
3860000,205
3960000,169
4060000,138
4160000,111
4260000,89
4360000,70
4460000,55
4560000,42
4660000,32
4760000,25
4860000,18
4960000,14
5060000,10
5160000,7
5260000,5
5360000,4
5460000,3
5560000,2
5660000,1
5760000,1
5860000,1
