Ціна (грн),Кількість об'єктів
60000,221
160000,228
260000,235
360000,241
460000,248
560000,255
660000,261
760000,268
860000,274
960000,281
1060000,287
1160000,293
1260000,299
1360000,304
1460000,310
1560000,315
1660000,320
1760000,324
1860000,329
1960000,333
2060000,337
2160000,340
2260000,344
2360000,347
2460000,349
2560000,352
2660000,354
2760000,355
2860000,357
2960000,357
3060000,358
3160000,358
3260000,358
3360000,358
3460000,357
3560000,356
3660000,354
3760000,352
3860000,350
3960000,347
4060000,344
4160000,341
4260000,338
4360000,334
4460000,330
4560000,325
4660000,320
4760000,316
4860000,310
4960000,305
5060000,299
5160000,294
5260000,288
5360000,282
5460000,275
5560000,269
5660000,263
5760000,256
5860000,249
5960000,242
6060000,236
6160000,229
6260000,222
6360000,215
6460000,208
6560000,201
6660000,195
6760000,188
6860000,181
6960000,174
7060000,168
7160000,161
7260000,155
7360000,149
7460000,142
7560000,136
7660000,130
7760000,125
7860000,119
7960000,113
8060000,108
8160000,103
8260000,98
8360000,93
8460000,88
8560000,84
8660000,79
8760000,75
8860000,71
8960000,67
9060000,63
9160000,59
9260000,56
9360000,52
9460000,49
9560000,46
9660000,43
9760000,41
9860000,38
9960000,36
