Ціна (грн),Кількість об'єктів
60000,263
160000,325
260000,395
360000,474
460000,562
560000,657
660000,759
760000,865
860000,973
960000,1080
1060000,1183
1160000,1279
1260000,1365
1360000,1437
1460000,1494
1560000,1533
1660000,1552
1760000,1552
1860000,1531
1960000,1490
2060000,1432
2160000,1358
2260000,1271
2360000,1174
2460000,1071
2560000,964
2660000,856
2760000,750
2860000,649
2960000,554
3060000,467
3160000,389
3260000,319
3360000,259
3460000,207
3560000,163
3660000,127
3760000,98
3860000,74
3960000,56
4060000,41
4160000,30
4260000,22
4360000,15
4460000,11
4560000,7
4660000,5
4760000,3
4860000,2
4960000,2
5060000,1
5160000,1
