Ціна (грн),Кількість об'єктів
60000,73
160000,83
260000,93
360000,103
460000,113
560000,123
660000,133
760000,143
860000,151
960000,159
1060000,166
1160000,171
1260000,175
1360000,177
1460000,178
1560000,177
1660000,175
1760000,171
1860000,165
1960000,158
2060000,151
2160000,142
2260000,132
2360000,122
2460000,112
2560000,102
2660000,92
2760000,82
2860000,72
2960000,63
3060000,55
3160000,47
3260000,40
3360000,34
3460000,28
3560000,24
3660000,19
3760000,16
3860000,13
3960000,10
4060000,8
4160000,6
4260000,5
4360000,4
4460000,3
4560000,2
4660000,2
4760000,1
4860000,1
4960000,1
