Ціна (грн),Кількість об'єктів
60000,52
160000,57
260000,62
360000,67
460000,72
560000,77
660000,82
760000,87
860000,92
960000,96
1060000,101
1160000,104
1260000,108
1360000,111
1460000,113
1560000,115
1660000,116
1760000,117
1860000,117
1960000,116
2060000,115
2160000,113
2260000,110
2360000,107
2460000,104
2560000,100
2660000,96
2760000,91
2860000,86
2960000,81
3060000,76
3160000,71
3260000,66
3360000,61
3460000,56
3560000,51
3660000,46
3760000,42
3860000,37
3960000,33
4060000,30
4160000,26
4260000,23
4360000,20
4460000,17
4560000,15
4660000,13
4760000,11
4860000,9
4960000,8
5060000,7
5160000,6
5260000,5
5360000,4
5460000,3
5560000,3
5660000,2
5760000,2
5860000,1
5960000,1
6060000,1
6160000,1
6260000,1
