Ціна (грн),Кількість об'єктів
60000,447
160000,450
260000,453
360000,455
460000,457
560000,459
660000,460
760000,461
860000,462
960000,462
1060000,461
1160000,461
1260000,460
1360000,458
1460000,456
1560000,454
1660000,451
1760000,448
1860000,445
1960000,441
2060000,437
2160000,432
2260000,427
2360000,422
2460000,417
2560000,411
2660000,405
2760000,399
2860000,392
2960000,386
3060000,379
3160000,372
3260000,364
3360000,357
3460000,349
3560000,341
3660000,334
3760000,326
3860000,317
3960000,309
4060000,301
4160000,293
4260000,285
4360000,276
4460000,268
4560000,260
4660000,252
4760000,243
4860000,235
4960000,227
5060000,219
5160000,211
5260000,204
5360000,196
5460000,189
5560000,181
5660000,174
5760000,167
5860000,160
5960000,153
6060000,146
6160000,140
6260000,134
6360000,127
6460000,121
6560000,116
6660000,110
6760000,105
6860000,99
6960000,94
7060000,90
7160000,85
7260000,80
7360000,76
7460000,72
7560000,68
7660000,64
7760000,60
7860000,57
7960000,53
8060000,50
8160000,47
8260000,44
8360000,41
8460000,39
8560000,36
8660000,34
8760000,32
8860000,30
8960000,28
9060000,26
9160000,24
9260000,22
9360000,21
9460000,19
9560000,18
9660000,17
9760000,15
9860000,14
9960000,13
