Ціна (грн),Кількість об'єктів
60000,25
160000,27
260000,29
360000,31
460000,32
560000,34
660000,36
760000,38
860000,39
960000,41
1060000,42
1160000,44
1260000,45
1360000,46
1460000,47
1560000,48
1660000,48
1760000,49
1860000,49
1960000,49
2060000,49
2160000,49
2260000,49
2360000,48
2460000,47
2560000,47
2660000,46
2760000,44
2860000,43
2960000,42
3060000,40
3160000,39
3260000,37
3360000,35
3460000,34
3560000,32
3660000,30
3760000,28
3860000,26
3960000,25
4060000,23
4160000,21
4260000,20
4360000,18
4460000,17
4560000,15
4660000,14
4760000,13
4860000,11
4960000,10
5060000,9
5160000,8
5260000,7
5360000,6
5460000,6
5560000,5
5660000,4
5760000,4
5860000,3
5960000,3
6060000,3
6160000,2
6260000,2
6360000,2
6460000,1
6560000,1
6660000,1
6760000,1
6860000,1
6960000,1
