Ціна (грн),Кількість об'єктів
60000,165
160000,198
260000,233
360000,270
460000,309
560000,349
660000,389
760000,427
860000,463
960000,494
1060000,520
1160000,541
1260000,554
1360000,559
1460000,557
1560000,548
1660000,531
1760000,507
1860000,478
1960000,444
2060000,407
2160000,368
2260000,328
2360000,288
2460000,250
2560000,213
2660000,180
2760000,150
2860000,123
2960000,99
3060000,79
3160000,62
3260000,48
3360000,37
3460000,28
3560000,21
3660000,15
3760000,11
3860000,8
3960000,6
4060000,4
4160000,3
4260000,2
4360000,1
4460000,1
