Ціна (грн),Кількість об'єктів
60000,91
160000,102
260000,114
360000,126
460000,139
560000,152
660000,165
760000,178
860000,192
960000,205
1060000,218
1160000,230
1260000,241
1360000,252
1460000,261
1560000,269
1660000,276
1760000,281
1860000,285
1960000,287
2060000,287
2160000,286
2260000,283
2360000,278
2460000,272
2560000,265
2660000,256
2760000,246
2860000,234
2960000,223
3060000,210
3160000,197
3260000,184
3360000,170
3460000,157
3560000,144
3660000,131
3760000,119
3860000,107
3960000,96
4060000,85
4160000,75
4260000,66
4360000,58
4460000,50
4560000,43
4660000,37
4760000,32
4860000,27
4960000,23
5060000,19
5160000,16
5260000,13
5360000,11
5460000,9
5560000,7
5660000,6
5760000,5
5860000,4
5960000,3
6060000,2
6160000,2
6260000,1
6360000,1
6460000,1
6560000,1
6660000,1
