Ціна (грн),Кількість об'єктів
60000,253
160000,259
260000,265
360000,270
460000,276
560000,282
660000,288
760000,294
860000,299
960000,305
1060000,311
1160000,317
1260000,323
1360000,328
1460000,334
1560000,340
1660000,345
1760000,351
1860000,356
1960000,362
2060000,367
2160000,373
2260000,378
2360000,383
2460000,388
2560000,393
2660000,398
2760000,403
2860000,408
2960000,412
3060000,417
3160000,421
3260000,425
3360000,429
3460000,433
3560000,437
3660000,441
3760000,444
3860000,448
3960000,451
4060000,454
4160000,457
4260000,460
4360000,462
4460000,465
4560000,467
4660000,469
4760000,471
4860000,473
4960000,474
5060000,475
5160000,477
5260000,478
5360000,478
5460000,479
5560000,479
5660000,479
5760000,479
5860000,479
5960000,479
6060000,478
6160000,477
6260000,477
6360000,475
6460000,474
6560000,472
6660000,471
6760000,469
6860000,467
6960000,465
7060000,462
7160000,460
7260000,457
7360000,454
7460000,451
7560000,447
7660000,444
7760000,441
7860000,437
7960000,433
8060000,429
8160000,425
8260000,421
8360000,416
8460000,412
8560000,407
8660000,402
8760000,398
8860000,393
8960000,388
9060000,383
9160000,377
9260000,372
9360000,367
9460000,361
9560000,356
9660000,350
9760000,345
9860000,339
9960000,333
