Ціна (грн),Кількість об'єктів
60000,12
160000,14
260000,17
360000,20
460000,23
560000,26
660000,29
760000,33
860000,37
960000,40
1060000,44
1160000,47
1260000,51
1360000,53
1460000,56
1560000,58
1660000,59
1760000,60
1860000,60
1960000,59
2060000,58
2160000,56
2260000,54
2360000,52
2460000,49
2560000,45
2660000,42
2760000,38
2860000,34
2960000,31
3060000,27
3160000,24
3260000,21
3360000,18
3460000,15
3560000,13
3660000,11
3760000,9
3860000,7
3960000,6
4060000,5
4160000,4
4260000,3
4360000,2
4460000,2
4560000,1
4660000,1
4760000,1
4860000,1
