Ціна (грн),Кількість об'єктів
60000,576
160000,609
260000,643
360000,677
460000,712
560000,746
660000,780
760000,814
860000,847
960000,879
1060000,911
1160000,941
1260000,970
1360000,998
1460000,1024
1560000,1048
1660000,1071
1760000,1091
1860000,1109
1960000,1124
2060000,1137
2160000,1148
2260000,1156
2360000,1161
2460000,1163
2560000,1163
2660000,1160
2760000,1154
2860000,1146
2960000,1135
3060000,1121
3160000,1105
3260000,1087
3360000,1066
3460000,1044
3560000,1019
3660000,993
3760000,965
3860000,935
3960000,905
4060000,873
4160000,840
4260000,807
4360000,773
4460000,739
4560000,705
4660000,670
4760000,636
4860000,603
4960000,569
5060000,536
5160000,504
5260000,473
5360000,443
5460000,413
5560000,385
5660000,358
5760000,331
5860000,306
5960000,283
6060000,260
6160000,239
6260000,219
6360000,200
6460000,182
6560000,166
6660000,151
6760000,136
6860000,123
6960000,111
7060000,100
7160000,89
7260000,80
7360000,71
7460000,64
7560000,56
7660000,50
7760000,44
7860000,39
7960000,34
8060000,30
8160000,26
8260000,23
8360000,20
8460000,17
8560000,15
8660000,13
8760000,11
8860000,10
8960000,8
9060000,7
9160000,6
9260000,5
9360000,4
9460000,4
9560000,3
9660000,3
9760000,2
9860000,2
9960000,2
