Ціна (грн),Кількість об'єктів
60000,123
160000,145
260000,169
360000,195
460000,224
560000,255
660000,288
760000,323
860000,358
960000,394
1060000,430
1160000,465
1260000,499
1360000,531
1460000,560
1560000,586
1660000,608
1760000,625
1860000,638
1960000,645
2060000,647
2160000,643
2260000,634
2360000,620
2460000,601
2560000,578
2660000,551
2760000,521
2860000,488
2960000,453
3060000,418
3160000,382
3260000,346
3360000,311
3460000,277
3560000,245
3660000,214
3760000,186
3860000,160
3960000,137
4060000,116
4160000,97
4260000,81
4360000,67
4460000,55
4560000,44
4660000,36
4760000,29
4860000,23
4960000,18
5060000,14
5160000,11
5260000,8
5360000,6
5460000,5
5560000,3
5660000,3
5760000,2
5860000,1
5960000,1
6060000,1
6160000,1
