Ціна (грн),Кількість об'єктів
60000,23
160000,27
260000,32
360000,37
460000,42
560000,47
660000,53
760000,60
860000,66
960000,72
1060000,79
1160000,85
1260000,91
1360000,97
1460000,102
1560000,107
1660000,111
1760000,114
1860000,116
1960000,118
2060000,118
2160000,118
2260000,117
2360000,114
2460000,111
2560000,107
2660000,103
2760000,98
2860000,92
2960000,86
3060000,80
3160000,73
3260000,67
3360000,61
3460000,55
3560000,49
3660000,43
3760000,38
3860000,33
3960000,28
4060000,24
4160000,21
4260000,17
4360000,14
4460000,12
4560000,10
4660000,8
4760000,7
4860000,5
4960000,4
5060000,3
5160000,3
5260000,2
5360000,2
5460000,1
5560000,1
5660000,1
5760000,1
