Ціна (грн),Кількість об'єктів
60000,41
160000,43
260000,46
360000,48
460000,51
560000,53
660000,56
760000,58
860000,61
960000,64
1060000,66
1160000,69
1260000,71
1360000,74
1460000,76
1560000,79
1660000,81
1760000,83
1860000,85
1960000,87
2060000,89
2160000,91
2260000,92
2360000,94
2460000,95
2560000,96
2660000,97
2760000,98
2860000,98
2960000,99
3060000,99
3160000,99
3260000,99
3360000,98
3460000,98
3560000,97
3660000,96
3760000,95
3860000,94
3960000,92
4060000,91
4160000,89
4260000,87
4360000,85
4460000,83
4560000,81
4660000,79
4760000,77
4860000,74
4960000,72
5060000,69
5160000,67
5260000,64
5360000,62
5460000,59
5560000,56
5660000,54
5760000,51
5860000,49
5960000,46
6060000,44
6160000,41
6260000,39
6360000,37
6460000,34
6560000,32
6660000,30
6760000,28
6860000,26
6960000,25
7060000,23
7160000,21
7260000,20
7360000,18
7460000,17
7560000,15
7660000,14
7760000,13
7860000,12
7960000,11
8060000,10
8160000,9
8260000,8
8360000,7
8460000,7
8560000,6
8660000,5
8760000,5
8860000,4
8960000,4
9060000,4
9160000,3
9260000,3
9360000,3
9460000,2
9560000,2
9660000,2
9760000,2
9860000,1
9960000,1
