Ціна (грн),Кількість об'єктів
60000,16
160000,20
260000,25
360000,30
460000,37
560000,44
660000,53
760000,62
860000,71
960000,81
1060000,92
1160000,102
1260000,112
1360000,122
1460000,130
1560000,138
1660000,144
1760000,149
1860000,152
1960000,153
2060000,153
2160000,150
2260000,146
2360000,139
2460000,132
2560000,123
2660000,114
2760000,104
2860000,94
2960000,83
3060000,73
3160000,63
3260000,54
3360000,46
3460000,38
3560000,32
3660000,26
3760000,21
3860000,17
3960000,13
4060000,10
4160000,8
4260000,6
4360000,4
4460000,3
4560000,2
4660000,2
4760000,1
4860000,1
4960000,1
